Date,year,month,day,Symbol,Open,High,Low,Close,Volume,gain_loss,high_vs_prev_day,low_vs_prev_day,volume_vs_prev_day,pct_close_change,pct_volume_change
2024-11-12,2024,11,12,AAPL,224.55,225.59,223.36,224.23,40375300.0,0,0,1,0,-0.3953,-15.3322
2024-11-11,2024,11,11,AAPL,225.0,225.7,221.5,224.23,41949000.0,0,1,0,1,0.0,3.8977
2024-11-08,2024,11,8,AAPL,227.17,228.66,226.41,226.96,38308700.0,0,1,1,0,1.2175,-8.6779
2024-11-07,2024,11,7,AAPL,224.63,227.88,224.57,227.48,42083800.0,1,0,0,1,0.2291,9.8544
2024-11-06,2024,11,6,AAPL,222.61,226.07,221.19,222.72,54495200.0,1,0,0,1,-2.0925,29.4921
2024-11-05,2024,11,5,AAPL,221.795,223.945,221.795,223.45,27890524.0,1,0,1,0,0.3278,-48.8202
2024-11-04,2024,11,4,AAPL,220.99,222.79,219.71,222.01,44903300.0,1,0,0,1,-0.6444,60.9984
2024-11-01,2024,11,1,AAPL,220.97,225.35,220.27,222.91,65242200.0,1,1,1,1,0.4054,45.2949
2024-10-31,2024,10,31,AAPL,229.34,229.83,225.37,225.91,63960700.0,0,1,1,0,1.3458,-1.9642
2024-10-30,2024,10,30,AAPL,232.62,233.47,229.56,230.1,45894362.0,0,1,1,0,1.8547,-28.246
2024-10-29,2024,10,29,AAPL,233.195,234.32,232.32,233.67,30768254.0,1,1,1,0,1.5515,-32.9585
2024-10-28,2024,10,28,AAPL,233.315,234.73,232.55,233.4,34733733.0,1,1,1,1,-0.1155,12.8882
2024-10-25,2024,10,25,AAPL,229.74,233.22,229.57,231.41,38776700.0,1,0,0,1,-0.8526,11.6399
2024-10-24,2024,10,24,AAPL,229.98,230.82,228.41,230.57,31071100.0,1,0,0,0,-0.363,-19.8717
2024-10-23,2024,10,23,AAPL,234.32,235.144,227.76,230.76,50657958.0,0,1,0,1,0.0824,63.0388
2024-10-22,2024,10,22,AAPL,233.83,236.19,232.61,235.86,34958938.0,1,1,1,0,2.2101,-30.9902
2024-10-21,2024,10,21,AAPL,234.45,236.85,234.45,236.48,35059099.0,1,1,1,1,0.2629,0.2865
2024-10-18,2024,10,18,AAPL,236.18,236.18,234.01,235.0,46416300.0,0,0,0,1,-0.6258,32.3944
2024-10-17,2024,10,17,AAPL,233.43,233.85,230.52,232.15,32978900.0,0,0,0,0,-1.2128,-28.9497
2024-10-16,2024,10,16,AAPL,231.62,232.12,229.85,231.78,32657566.0,1,0,0,0,-0.1594,-0.9744
2024-10-15,2024,10,15,AAPL,233.59,237.49,232.37,233.85,61901688.0,1,1,1,1,0.8931,89.5478
2024-10-14,2024,10,14,AAPL,228.7,231.7278,228.6,231.3,32607921.0,1,0,0,0,-1.0904,-47.3231
2024-10-11,2024,10,11,AAPL,229.3,229.41,227.34,227.55,31668000.0,0,0,0,0,-1.6213,-2.8825
2024-10-10,2024,10,10,AAPL,227.78,229.5,227.17,229.04,27959432.0,1,1,0,0,0.6548,-11.7108
2024-10-09,2024,10,9,AAPL,225.17,229.75,224.83,229.54,32108383.0,1,1,0,1,0.2183,14.8392
