ticker,disclosure_date,positive_sentiment,neutral_sentiment,negative_sentiment,compound_sentiment,Date,year,month,day,Symbol,Open,High,Low,Close,Volume,gain_loss,high_vs_prev_day,low_vs_prev_day,volume_vs_prev_day,pct_close_change,pct_volume_change
AAPL,2023-02-02,0.939026,0.04036589,0.02060809,0.91841793,2023-02-02,2023,2,2,AAPL,148.9,151.18,148.17,150.82,116868600.0,1,0,1,0,-2.3819,-24.249
AAPL,2023-03-10,0.9006524,0.047102828,0.052244756,0.8484076,2023-03-10,2023,3,10,AAPL,150.21,150.94,147.61,148.5,68524400.0,0,0,0,0,-1.3092,-18.8649
AAPL,2023-05-04,0.93825614,0.04130525,0.020438652,0.9178175,2023-05-04,2023,5,4,AAPL,164.89,167.04,164.31,165.79,81235400.0,1,0,0,0,-4.4823,-28.311
AAPL,2023-05-10,0.9374924,0.033278946,0.029228628,0.90826374,2023-05-10,2023,5,10,AAPL,173.02,174.03,171.9,173.56,53724500.0,1,0,0,1,-0.1094,8.5021
AAPL,2023-08-03,0.9400084,0.03898698,0.02100464,0.9190037,2023-08-03,2023,8,3,AAPL,191.57,192.37,190.69,191.17,61235200.0,0,1,1,0,5.0442,-47.1197
AAPL,2023-11-02,0.93908536,0.040305108,0.020609528,0.91847587,2023-11-02,2023,11,2,AAPL,175.52,177.78,175.46,177.57,77334800.0,1,1,1,0,0.5208,-3.0451
AAPL,2024-02-01,0.939026,0.04036589,0.02060809,0.91841793,2024-02-01,2024,2,1,AAPL,183.99,186.95,183.82,186.86,64885400.0,1,0,1,0,0.5434,-36.7083
AAPL,2024-02-28,0.90543467,0.054562844,0.040002413,0.86543226,2024-02-28,2024,2,28,AAPL,182.51,183.12,180.13,181.42,48953900.0,0,1,1,0,0.3707,-64.1842
AAPL,2024-05-02,0.93824744,0.041344874,0.020407708,0.91783977,2024-05-02,2024,5,2,AAPL,172.51,173.42,170.89,173.03,92880600.0,1,0,0,0,-5.6337,-43.0963
AAPL,2024-05-03,0.9318509,0.04784426,0.020304827,0.9115461,2024-05-03,2024,5,3,AAPL,186.67,187.0,182.66,183.36,163224109.0,0,1,1,1,0.908,114.0649
AAPL,2024-08-01,0.94000345,0.039021786,0.020974789,0.91902864,2024-08-01,2024,8,1,AAPL,224.37,224.48,217.02,218.36,61877900.0,0,0,0,0,-0.6823,-37.1671
AAPL,2024-08-23,0.9260925,0.055892877,0.018014705,0.9080778,2024-08-23,2024,8,23,AAPL,225.66,228.22,224.33,226.84,38629400.0,1,1,1,1,-0.1497,29.48
AAPL,2024-08-26,0.9380812,0.033893533,0.028025327,0.9100559,2024-08-26,2024,8,26,AAPL,227.21,227.28,223.8905,227.18,29834257.0,0,0,0,0,-0.3728,-16.7844
AAPL,2024-09-10,0.8427575,0.10418083,0.053061645,0.78969586,2024-09-10,2024,9,10,AAPL,218.885,221.48,216.73,220.11,51215441.0,1,0,0,1,-1.1452,16.8166
AAPL,2024-10-31,0.93891764,0.040416785,0.02066558,0.91825205,2024-10-31,2024,10,31,AAPL,229.34,229.83,225.37,225.91,63960700.0,0,1,1,0,1.3458,-1.9642
AMT,2022-12-08,0.92815983,0.04647163,0.02536856,0.90279126,2022-12-08,2022,12,8,AMT,210.39,213.83,209.22,212.25,2465300.0,1,0,0,1,-0.7435,49.7025
AMT,2023-02-23,0.94330394,0.03473568,0.021960374,0.92134356,2023-02-23,2023,2,23,AMT,201.25,203.96,200.0,201.96,3234000.0,1,1,1,1,3.183,18.5919
